average,total_sum,total_element,m,M
42.83368326334733,2570535,60012,0.1,0.1
42.83184296619411,2356608,55020,0.1,0.2
42.869261975658986,2145135,50039,0.1,0.3
42.80629588431591,1924143,44950,0.1,0.4
42.85423373512016,1717212,40071,0.1,0.5
42.8213023149732,1502000,35076,0.1,0.6
42.78296950508248,1283703,30005,0.1,0.7
42.79222381407195,1075283,25128,0.1,0.8
42.847650240682846,863423,20151,0.1,0.9
42.75008916001877,2277511,53275,0.2,0.2
42.8476401515936,2068984,48287,0.2,0.3
42.86155337117541,1857534,43338,0.2,0.4
42.72283160939006,1639745,38381,0.2,0.5
42.8328344806944,1431045,33410,0.2,0.6
42.852446348916445,1220052,28471,0.2,0.7
42.79455424548308,1009010,23578,0.2,0.8
42.94842890595218,788662,18363,0.2,0.9
42.75792131105453,1998548,46741,0.3,0.3
42.90771376358565,1784446,41588,0.3,0.4
42.80859460047899,1572959,36744,0.3,0.5
42.77067195667234,1358311,31758,0.3,0.6
42.91384292093512,1143611,26649,0.3,0.7
42.67640667622174,923048,21629,0.3,0.8
42.73808952358095,712273,16666,0.3,0.9
42.79835257004081,1709409,39941,0.4,0.4
42.78821278661375,1498486,35021,0.4,0.5
42.821509610250935,1283275,29968,0.4,0.6
42.71219764070382,1075365,25177,0.4,0.7
42.72053620371754,857273,20067,0.4,0.8
42.92131387833966,644206,15009,0.4,0.9
42.82637579675016,1431129,33417,0.5,0.5
42.848568398727465,1212186,28290,0.5,0.6
42.84918384879725,997529,23280,0.5,0.7
42.90055938738934,789928,18413,0.5,0.8
42.75973781360657,567550,13273,0.5,0.9
42.91719128329298,1152112,26845,0.6,0.6
42.7721320545924,927642,21688,0.6,0.7
42.84523019368853,710074,16573,0.6,0.8
42.91472934717337,500257,11657,0.6,0.9
42.81607765057242,860175,20090,0.7,0.7
42.77615410162737,643995,15055,0.7,0.8
42.82697276883324,430925,10062,0.7,0.9
42.72853081986834,571195,13368,0.8,0.8
43.14009895016291,357502,8287,0.8,0.9
42.71192443919717,289416,6776,0.9,0.9
