m,M,delta suppression,epsilon suppression,average,average_laplace,average_gaussian,difference_laplace,difference_gaussian
0.1,0.9,2.0250405006075078e-10,8.195987029498756,4.165871658716587,4.165888981854581,4.16618245463852,1.732313799340801e-05,0.0003107959219326
0.1,0.8,2.0250405006075078e-10,7.2953945291203475,4.165871658716587,4.165872976070178,4.166110302869531,1.317353590657433e-06,0.0002386441529438
0.1,0.7,2.0250405006075078e-10,6.415735221843628,4.165871658716587,4.1658769850204616,4.166035915019353,5.326303874397809e-06,0.0001642563027655
0.1,0.6,2.0250405006075078e-10,5.523137163611585,4.165871658716587,4.165887741073455,4.166313014452949,1.6082356867563874e-05,0.0004413557363616
0.1,0.5,2.0250405006075078e-10,4.620114506958277,4.165871658716587,4.165880652328729,4.166380020805326,8.99361214212746e-06,0.0005083620887385
0.1,0.4,2.0250405006075078e-10,3.7085130668623143,4.165871658716587,4.1659522203747565,4.165588244984757,8.056165816938687e-05,0.0002834137318297
0.1,0.3,2.0250405006075078e-10,2.789728043577631,4.165871658716587,4.165643556022385,4.165124271611495,0.0002281026942023,0.0007473871050924
0.1,0.2,2.0250405006075078e-10,1.8648397251631903,4.165871658716587,4.16597065665774,4.165495561899639,9.899794115231232e-05,0.0003760968169483
0.1,0.1,2.0250405006075078e-10,0.9347016640011662,4.165871658716587,4.165530535303606,4.167757224144575,0.0003411234129808,0.0018855654279876
0.2,0.9,1.8000360005400074e-10,4.536418382828267,4.165871658716587,4.165968532651482,4.1661882701105615,9.687393489521412e-05,0.0003166113939743
0.2,0.8,1.8000360005400074e-10,3.335993124944123,4.165871658716587,4.165535325121585,4.165661231686014,0.0003363335950021,0.0002104270305727
0.2,0.7,1.8000360005400074e-10,2.915735221843628,4.165871658716587,4.16573318797495,4.165819003702095,0.0001384707416374,5.265501449258636e-05
0.2,0.6,1.8000360005400074e-10,2.523137163611585,4.165871658716587,4.165830285047616,4.1661632285717065,4.137366897083439e-05,0.0002915698551193
0.2,0.5,1.8000360005400074e-10,2.1201145069582776,4.165871658716587,4.165906760958948,4.166098402066102,3.510224236080717e-05,0.0002267433495148
0.2,0.4,1.8000360005400074e-10,1.7085130668623152,4.165871658716587,4.166026929870573,4.167172039605755,0.0001552711539858,0.0013003808891678
0.2,0.3,1.8000360005400074e-10,1.289728043577631,4.165871658716587,4.165412682797576,4.165175654549124,0.0004589759190114,0.0006960041674632
0.2,0.2,1.8000360005400074e-10,0.8648397251631903,4.165871658716587,4.1653268339357,4.167045709476759,0.0005448247808867,0.0011740507601718
0.3,0.9,1.5750315004725062e-10,3.55575364861844,4.165871658716587,4.165773564046547,4.166484800161837,9.809467004018302e-05,0.0006131414452497
0.3,0.8,1.5750315004725062e-10,2.180266386740503,4.165871658716587,4.165895042298354,4.164496681736982,2.3383581766900363e-05,0.0013749769796049
0.3,0.7,1.5750315004725062e-10,1.7804540248006575,4.165871658716587,4.1660457368910055,4.165231944868583,0.0001740781744183,0.0006397138480043
0.3,0.6,1.5750315004725062e-10,1.5238551221072782,4.165871658716587,4.165536373865498,4.167301173034993,0.0003352848510891,0.0014295143184055
0.3,0.5,1.5750315004725062e-10,1.2867811736249442,4.165871658716587,4.165900534827525,4.166734890303345,2.887611093793652e-05,0.0008632315867576
0.3,0.4,1.5750315004725062e-10,1.041846400195649,4.165871658716587,4.1661859982641145,4.168602948850061,0.0003143395475273,0.0027312901334735
0.3,0.3,1.5750315004725062e-10,0.7897280435776314,4.165871658716587,4.164662685270194,4.161837614344464,0.0012089734463929,0.0040340443721236
0.4,0.9,1.350027000405005e-10,2.970877397374573,4.165871658716587,4.165905328572818,4.164517788377315,3.366985623109997e-05,0.0013538703392725
0.4,0.8,1.350027000405005e-10,1.6219243544110258,4.165871658716587,4.166294424485896,4.166170877350339,0.0004227657693087,0.000299218633752
0.4,0.7,1.350027000405005e-10,1.2474029062976228,4.165871658716587,4.165841747301891,4.168076309516159,2.9911414696215388e-05,0.0022046507995714
0.4,0.6,1.350027000405005e-10,1.040004453643959,4.165871658716587,4.165792936476388,4.164309216715661,7.872224019944696e-05,0.0015624420009263
0.4,0.5,1.350027000405005e-10,0.8719887568651667,4.165871658716587,4.165950105316698,4.164883392310908,7.84466001109152e-05,0.0009882664056792
0.4,0.4,1.350027000405005e-10,0.7085130668623151,4.165871658716587,4.165239857100704,4.163096472283729,0.0006318016158832,0.0027751864328582
0.5,0.9,1.1250225003375044e-10,2.41573522184363,4.165871658716587,4.166427848913791,4.165881972557377,0.0005561901972033,1.0313840789422102e-05
0.5,0.8,1.1250225003375044e-10,1.24047842129593,4.165871658716587,4.165551970672105,4.16651545866972,0.000319688044482,0.0006437999531332
0.5,0.7,1.1250225003375044e-10,0.9109181462991324,4.165871658716587,4.16483861675509,4.16270855724008,0.001033041961497,0.003163101476507
0.5,0.6,1.1250225003375044e-10,0.744131224208421,4.165871658716587,4.166003601598483,4.162798762870192,0.0001319428818957,0.0030728958463956
0.5,0.5,1.1250225003375044e-10,0.6201145069582775,4.165871658716587,4.165237961982593,4.167652614866145,0.0006336967339937,0.0017809561495578
0.6,0.9,9.000180002700037e-11,1.8573740195087889,4.165871658716587,4.165874700345284,4.164868061731019,3.0416286964651817e-06,0.0010035969855684
0.6,0.8,9.000180002700037e-11,0.9168332207542772,4.165871658716587,4.16636210191962,4.161453112966679,0.0004904432030325,0.0044185457499077
0.6,0.7,9.000180002700037e-11,0.6491258279171364,4.165871658716587,4.165642783403974,4.1629892428946125,0.0002288753126133,0.0028824158219746
0.6,0.6,9.000180002700037e-11,0.5231371636115855,4.165871658716587,4.166135568331223,4.169709950900491,0.0002639096146355,0.0038382921839037
0.7,0.9,6.750135002025028e-11,1.2953945291203477,4.165871658716587,4.165733662137881,4.165772534537555,0.0001379965787062,9.912417903201742e-05
0.7,0.8,6.750135002025028e-11,0.6073740195087887,4.165871658716587,4.164429388385431,4.174153127091096,0.0014422703311565,0.0082814683745091
0.7,0.7,6.750135002025028e-11,0.4157352218436286,4.165871658716587,4.165980032782609,4.165035714783187,0.0001083740660217,0.0008359439334002
0.8,0.9,4.5000900013500165e-11,0.7293182678690191,4.165871658716587,4.165505755181438,4.16222700508812,0.0003659035351493,0.0036446536284673
0.8,0.8,4.5000900013500165e-11,0.2953945291203476,4.165871658716587,4.165181432233931,4.1562708798148265,0.0006902264826562,0.0096007789017606
0.9,0.9,2.250045000675009e-11,0.1585650787404291,4.165871658716587,4.162989552624482,4.150968711878457,0.0028821060921053,0.0149029468381298
