m,M,average weight,average_laplacian weight,average_gaussian weight,average volume,average_laplacian volume,average_gaussian volume,average_L2_laplacian_supression,average_L2_gaussian_supression
0.1,0.9,1503.141301401948,1502.973133510218,1501.1222347521834,200.2225804801864,200.34353318933736,200.1165163281634,6.204095898129483,17.74100654632352
0.1,0.8,1502.9346788655855,1503.3447874363974,1501.609016809616,200.2329804934443,200.26114620174968,200.12327173191483,5.783323494687871,17.87156651365931
0.1,0.7,1503.2320290802195,1503.2632456854417,1499.2366316419104,200.27261730072453,200.0570661856001,200.12048138110103,6.109586344261382,17.67531073714326
0.1,0.6,1503.4439736809602,1502.6078475169577,1502.627068434878,200.2577678902541,200.3742466269904,200.1859786886614,5.731329856223836,17.820199763201906
0.1,0.5,1502.954434323972,1502.366595708079,1500.0807814497014,200.21034464469483,200.18384896219175,200.72431063542817,5.384816559950067,19.848513421341128
0.1,0.4,1502.7827554987823,1503.7099381949222,1502.5389536786,200.18884468224863,200.1792284127918,200.8392686878455,5.576833466571969,18.74306664200956
0.1,0.3,1503.1306436867972,1504.1280355939757,1497.691986611871,200.2042762151348,200.29090936282773,200.2090603303817,5.976918748550766,18.016342038842915
0.1,0.2,1503.2487808948176,1502.7997621485565,1507.0464209510983,200.2438477228404,200.1989059952838,200.6969066552689,5.870902714944459,18.9867150868295
0.1,0.1,1503.237942062024,1503.103959285644,1506.1955505205267,200.18042619557156,200.0949287245399,200.01518308321957,5.208903981200106,17.035156170671396
0.2,0.9,1503.1019845332737,1503.999489957704,1505.4191608939284,200.2889547536098,200.3141536892117,199.6360629287157,6.62445788542902,23.44254317992518
0.2,0.8,1503.4104074993063,1504.575393058402,1502.1784361641228,200.17355252127928,200.11484372005503,199.85106136574564,7.519688492344496,21.56130663571462
0.2,0.7,1503.1181146936003,1503.5310398349654,1504.5462948351935,200.2337387122376,200.24832088114232,200.0676476949842,7.457793058336652,23.221675918135137
0.2,0.6,1502.9846972075434,1502.4650935633636,1506.6445233618613,200.24752267588804,200.274769641264,200.4786420221733,6.437654934839,20.66654128649704
0.2,0.5,1502.8878743563089,1503.250442336402,1503.819083236267,200.2176798931063,200.15605267770533,199.8936508176156,5.524508450980503,20.963868539848654
0.2,0.4,1503.5960071603442,1501.9629326284826,1502.9674886986204,200.1801907932208,200.2342960252253,199.3877405574516,6.016335610780275,20.325588528794977
0.2,0.3,1502.896009423252,1503.0371942751894,1504.601478158712,200.20935183922705,200.3007481606732,200.04651830904896,6.078468004884581,22.2097764443676
0.2,0.2,1502.9661955007052,1503.4954470848295,1500.0390710355184,200.20032705038423,200.05948314718847,199.9188497238884,6.38356009205465,18.295585490093305
0.3,0.9,1503.4406739332212,1503.7151995609363,1505.6312090085194,200.19704652972376,200.0926881096489,199.649291045494,6.722460546154824,25.63438541309695
0.3,0.8,1503.4708095428605,1502.3787386390418,1500.2805577997974,200.34513526674388,200.18865815817853,199.97768242705308,7.637846402593192,26.95455291344212
0.3,0.7,1502.8351693091222,1503.330619355626,1512.264895968901,200.19094574771063,200.24968972070744,200.1208722060296,6.754566578166971,26.754622096410955
0.3,0.6,1502.7667812215925,1503.3832774058767,1501.5063541270654,200.22888549478571,200.20957730620867,200.55702097899936,7.048117105226127,26.233636441913404
0.3,0.5,1503.325319542693,1503.2784755306611,1503.3312635166794,200.2829381400537,200.26888350388023,200.44586300476195,7.233856816375768,20.44059166992109
0.3,0.4,1503.2046781440204,1502.5914370576502,1506.573109720358,200.208403079633,200.24804918903465,200.4931423380528,5.939159706362853,20.463427626853424
0.3,0.3,1503.7269343558255,1502.8790717603524,1502.1042777862708,200.18307207128083,200.2086459616193,200.1502321890753,6.925316147892635,18.83509937356281
0.4,0.9,1502.915940300126,1503.0369408929705,1505.2942200181476,200.13997589374395,200.1153959644927,200.51124387016404,9.206008451015236,31.57802865275657
0.4,0.8,1503.3623329151842,1502.3770060758322,1508.989935894718,200.2026859887184,200.18511834651315,200.24521623177745,8.005993143945915,29.894967044033265
0.4,0.7,1502.5430582426184,1502.6907338167232,1508.255348486919,200.2917568166741,200.09798388110596,201.0502539364912,7.6921636665414175,29.102468111678267
0.4,0.6,1503.6000315216186,1503.6659479298708,1501.409502696459,200.14082287581357,200.37828143591,200.1459890685683,7.847410612858497,27.449449783887022
0.4,0.5,1502.3453822132872,1502.943201145085,1498.6507809024472,200.12753213086285,200.05419772141715,200.84758651654025,8.254831269356703,27.067952281745644
0.4,0.4,1503.361537711883,1503.1374670249184,1506.589974148855,200.2301661767148,200.0058678357177,200.1114003308052,7.93976499923541,25.81772599894709
0.5,0.9,1502.6862530846563,1501.794447973495,1503.6158302931303,200.2882880516399,200.6943404700152,199.80312540108332,11.029804927783449,32.64834575302614
0.5,0.8,1502.8442208427712,1503.4937969804448,1508.272268283901,200.24228496224595,200.2539369056679,200.6420393764524,9.744819198897686,33.791842548290944
0.5,0.7,1502.5258633184771,1503.4667870613848,1496.4261138315874,200.113694457944,199.91211546205483,200.70901934801557,10.24678769511844,36.611565213249065
0.5,0.6,1503.0821775733912,1502.9239327526382,1494.9855724779436,200.31114844138745,200.2866452711424,199.40756307649715,8.509069034640152,34.756467581009424
0.5,0.5,1502.6000357539049,1504.41280164766,1502.9749523759608,200.0817969833488,200.13741999518103,199.32149499606152,9.648426170242654,33.97562374536413
0.6,0.9,1503.2731065625144,1502.5062408949464,1498.3479451480684,200.23670758595003,200.5067726589713,200.1694710281547,12.377346574644108,44.78635381649101
0.6,0.8,1503.026571792769,1501.410437418167,1506.1997041130203,200.1840398368203,199.9368216604494,199.0668680253242,11.222007681025556,40.57237573199015
0.6,0.7,1503.0756865704354,1503.2744682738246,1508.991900873419,200.29200191782311,200.33800457058183,200.7908964668381,10.807921821729629,43.63330013724649
0.6,0.6,1502.687245970441,1502.2464055190603,1497.9908471589215,200.224158536866,200.063218829734,201.15300292709676,10.951204248284125,38.11520242489708
0.7,0.9,1504.2100376996525,1505.6598093763064,1504.1880704236685,200.20026267571643,200.0987015346592,202.34771481454587,17.29405381387683,57.23319391005199
0.7,0.8,1502.538470610604,1500.538491168469,1503.763579892343,200.27189256807105,200.6088389624992,202.33900488949556,14.63393391247956,54.599800236819526
0.7,0.7,1503.902402472244,1505.445886365054,1496.5260200976022,199.99689237329235,200.3269440272186,201.14964439120288,16.09733420763661,49.76457598265971
0.8,0.9,1502.479590867409,1506.926608748243,1503.1322221533858,199.88635356694127,199.49819785673245,199.680617828252,25.418485226623925,79.68106281515121
0.8,0.8,1503.5652943404386,1499.2656798606392,1509.3208317811557,200.30370730499072,200.99501014187464,199.14096339712688,22.11520291669344,72.70949024893605
0.9,0.9,1501.672837284647,1502.7834287998082,1500.6606125253104,200.21442848552397,201.367150961275,195.8533136243543,40.73293913729965,167.7017111072087
