m,M,delta prima,epsilon prima,real_weight,real_volume,metric_laplacian,metric_gaussian
0.1,0.9,8.946242031631922e-07,8.195987029498756,30.0,20.0,0.0077207071661018,0.0200384510949438
0.1,0.8,8.946242031631922e-07,7.2953945291203475,30.0,20.0,0.0206986788431957,0.0034174217721191
0.1,0.7,8.946242031631922e-07,6.415735221843628,30.0,20.0,0.0146696262189447,0.022889354220869
0.1,0.6,8.946242031631922e-07,5.523137163611585,30.0,20.0,0.0235613522660036,-0.0639856176952801
0.1,0.5,8.946242031631922e-07,4.620114506958277,30.0,20.0,0.0149915876216222,0.0851326601272773
0.1,0.4,8.946242031631922e-07,3.7085130668623134,30.0,20.0,-0.0096962375034617,-0.0009253803725728
0.1,0.3,8.946242031631922e-07,2.789728043577631,30.0,20.0,0.0578794362721093,0.0439928476710314
0.1,0.2,8.946242031631922e-07,1.8648397251631903,30.0,20.0,0.0397947610091204,0.07490736598837
0.1,0.1,8.946242031631922e-07,0.9347016640011662,30.0,20.0,0.23994910552541,0.3726839248419231
0.2,0.9,7.952215139228376e-07,4.536418382828267,30.0,20.0,0.0003031552838327,0.0429028028271654
0.2,0.8,7.952215139228376e-07,3.335993124944123,30.0,20.0,0.0013321957312226,0.1713977545523927
0.2,0.7,7.952215139228376e-07,2.915735221843628,30.0,20.0,0.0256706804011373,0.0084879132501528
0.2,0.6,7.952215139228376e-07,2.523137163611585,30.0,20.0,0.0236868548197554,0.0783840581359731
0.2,0.5,7.952215139228376e-07,2.1201145069582776,30.0,20.0,0.0555566634672855,0.3119488010629277
0.2,0.4,7.952215139228376e-07,1.7085130668623152,30.0,20.0,0.0856966346112734,0.2540890443671516
0.2,0.3,7.952215139228376e-07,1.289728043577631,30.0,20.0,0.0497635703710375,0.1282030429021246
0.2,0.2,7.952215139228376e-07,0.8648397251631903,30.0,20.0,0.0766616087332922,0.2675270842288155
0.3,0.9,6.958188246824828e-07,3.55575364861844,30.0,20.0,0.003215127068952,0.0781402159813871
0.3,0.8,6.958188246824828e-07,2.180266386740503,30.0,20.0,0.0543567703338981,0.399567496792242
0.3,0.7,6.958188246824828e-07,1.7804540248006575,30.0,20.0,0.0096532403601557,0.2082821798827085
0.3,0.6,6.958188246824828e-07,1.5238551221072782,30.0,20.0,0.1171094882101584,0.3195158203848716
0.3,0.5,6.958188246824828e-07,1.2867811736249442,30.0,20.0,0.0815906983512089,0.2640842145766862
0.3,0.4,6.958188246824828e-07,1.041846400195649,30.0,20.0,0.0694812960523373,0.2308136877680083
0.3,0.3,6.958188246824828e-07,0.7897280435776314,30.0,20.0,-0.009397823760061,0.1701973721256431
0.4,0.9,5.964161354421281e-07,2.970877397374573,30.0,20.0,-0.0110832075983432,0.0830375688840317
0.4,0.8,5.964161354421281e-07,1.6219243544110258,30.0,20.0,-0.0031451858895323,0.1473766089683642
0.4,0.7,5.964161354421281e-07,1.2474029062976228,30.0,20.0,0.0053400898197512,0.1834528002189523
0.4,0.6,5.964161354421281e-07,1.040004453643959,30.0,20.0,0.1858764580117851,0.6427767409754133
0.4,0.5,5.964161354421281e-07,0.8719887568651667,30.0,20.0,0.1128022596178983,1.2125193920265027
0.4,0.4,5.964161354421281e-07,0.7085130668623151,30.0,20.0,0.1362514857186744,0.7546352264466553
0.5,0.9,4.970134462017734e-07,2.41573522184363,30.0,20.0,0.0103620331042402,-0.0694397915257766
0.5,0.8,4.970134462017734e-07,1.24047842129593,30.0,20.0,0.0743935762872671,0.1098231156110016
0.5,0.7,4.970134462017734e-07,0.9109181462991324,30.0,20.0,0.0452651762962659,0.5364470653855329
0.5,0.6,4.970134462017734e-07,0.744131224208421,30.0,20.0,0.2087042503152695,0.3048837139333139
0.5,0.5,4.970134462017734e-07,0.6201145069582775,30.0,20.0,0.1011547436751722,1.1423275032250388
0.6,0.9,3.976107569614188e-07,1.8573740195087889,30.0,20.0,0.0263943314522072,0.0205599620228871
0.6,0.8,3.976107569614188e-07,0.9168332207542772,30.0,20.0,0.0856017873959309,0.185653246411062
0.6,0.7,3.976107569614188e-07,0.6491258279171364,30.0,20.0,0.0672416864497584,0.3559541497738531
0.6,0.6,3.976107569614188e-07,0.5231371636115855,30.0,20.0,-0.0192445973732114,0.7880410755950729
0.7,0.9,2.982080677210641e-07,1.2953945291203477,30.0,20.0,0.0041363054710226,0.0507800769599348
0.7,0.8,2.982080677210641e-07,0.6073740195087887,30.0,20.0,0.2205179533917599,0.4395923795300698
0.7,0.7,2.982080677210641e-07,0.4157352218436286,30.0,20.0,0.1118380339180175,0.9400176602066908
0.8,0.9,1.9880537848070934e-07,0.7293182678690191,30.0,20.0,0.0059092003329972,0.0132962765500528
0.8,0.8,1.9880537848070934e-07,0.2953945291203476,30.0,20.0,0.6808451414087816,0.6776946375808541
0.9,0.9,9.94026892403547e-08,0.1585650787404291,30.0,20.0,0.4151619189431303,0.4644270056687642
